ID,Party,Date,VehicleNo,Volume,Rate,Product,Amount
1,GCC,2023-05-03, ,400,87.07,Diesel,34828
2,GCC,2023-05-05, ,36.01,101.06,Petrol,3639.17
3,GCC,2023-05-07, ,40,87.07,Diesel,3482.8
4,GCC,2023-05-08, ,40,87.07,Diesel,3482.8
5,GCC,2023-05-08, ,20,87.07,Diesel,1741.4
6,GCC,2023-05-09, ,20,87.07,Diesel,1741.4
7,GCC,2023-05-15, ,2.97,101.06,Petrol,300.15
8,GCC,2023-05-17, ,500,87.07,Diesel,43535
9,GCC,2023-05-17, ,4.59,87.07,Diesel,399.65
10,GCC,2023-05-17, ,3.36,101.06,Petrol,339.56
11,GCC,2023-05-19, ,4.95,101.06,Petrol,500.25
12,GCC,2023-05-20, ,6.93,101.06,Petrol,700.35
13,GCC,2023-05-23, ,1.97,101.06,Petrol,199.09
14,GCC,2023-05-23, ,1.97,101.06,Petrol,199.09
15,GCC,2023-05-24, ,8.61,101.06,Petrol,870.13
16,GCC,2023-05-25, ,500,87.07,Diesel,43535
17,GCC,2023-05-25, ,4.59,87.07,Diesel,399.65
18,GCC,2023-05-26, ,50,87.07,Diesel,4353.5
19,GCC,2023-05-30, ,800,87.07,Diesel,69656
20,GCC,2023-05-31, ,8.92,101.06,Petrol,901.46
21,GCC,2023-06-08, ,7.14,101.06,Petrol,721.57
22,GCC,2023-06-08, ,800,87.07,Diesel,69656
23,GCC,2023-06-13, ,700,87.07,Diesel,60949
24,GCC,2023-06-16, ,8.91,101.06,Petrol,900.44
25,GCC,2023-06-17, ,800,87.07,Diesel,69656
26,GCC,2023-06-17, ,4.59,87.07,Diesel,399.65
27,GCC,2023-06-21, ,4.94,101.06,Petrol,499.24
28,GCC,2023-06-21, ,7.53,101.06,Petrol,760.98
29,GCC,2023-06-21, ,800,87.07,Diesel,69656
30,GCC,2023-06-27, ,8.51,101.06,Petrol,860.02
31,GCC,2023-06-27, ,600,87.07,Diesel,52242
32,GCC,2023-06-29, ,4.95,101.06,Petrol,500.25
33,GCC,2023-07-02, ,800,87.07,Diesel,69656
34,SML,2023-06-01,KA01AG2219,240,87.07,Diesel,20896.8
35,SML,2023-06-02,MP09HG4625,250,87.07,Diesel,21767.5
36,SML,2023-06-03,KA01AG2219,260,87.07,Diesel,22638.2
37,SML,2023-06-04,KA01AH3353,15,87.07,Diesel,1306.05
38,SML,2023-06-05,TN28BA9727,190,87.07,Diesel,16543.3
39,SML,2023-06-06,KA01AH0745,230,87.07,Diesel,20026.1
40,SML,2023-06-07,MP09HG4625,270,87.07,Diesel,23508.9
41,SML,2023-06-07,KA01AH3353,270,87.07,Diesel,23508.9
42,SML,2023-06-09,KA01AG2219,240,87.07,Diesel,20896.8
43,SML,2023-06-10,KA01AE4419,248,87.07,Diesel,21593.36
44,SML,2023-06-11,TN28BA8814,336,87.07,Diesel,29255.52
45,SML,2023-06-11,TN28BB4539,349,87.07,Diesel,30387.43
46,SML,2023-06-13,MP09HG4625,250,87.07,Diesel,21767.5
47,SML,2023-06-13,TN28BA9727,350,87.07,Diesel,30474.5
48,SML,2023-06-14,KA01AG2219,260,87.07,Diesel,22638.2
49,SML,2023-06-14,KA01AH0744,300,87.07,Diesel,26121
50,SML,2023-06-15,KA01AH0745,380,87.07,Diesel,33086.6
51,SML,2023-06-15,KA01AH3353,290,87.07,Diesel,25250.3
52,SML,2023-06-16,MP09HG4625,250,87.07,Diesel,21767.5
53,SML,2023-06-19,KA01AE4419,240,87.07,Diesel,20896.8
54,SML,2023-06-20,TN28BB4539,231,87.07,Diesel,20113.17
55,SML,2023-06-21,KA01AH3353,270,87.07,Diesel,23508.9
56,SML,2023-06-21,KA01AG2219,240,87.07,Diesel,20896.8
57,SML,2023-06-21,TN28BA9727,190,87.07,Diesel,16543.3
58,SML,2023-06-22,MP09HG4625,270,87.07,Diesel,23508.9
59,SML,2023-06-23,KA01AH0745,230,87.07,Diesel,20026.1
60,SML,2023-06-23,KA01AH0744,300,87.07,Diesel,26121
61,SML,2023-06-24,TN28BB4539,226,87.07,Diesel,19677.82
62,SML,2023-06-24,KA01AE4419,260,87.07,Diesel,22638.2
63,SML,2023-06-27,MP09HG4625,250,87.07,Diesel,21767.5
64,SML,2023-06-27,TN28BA9727,350,87.07,Diesel,30474.5
65,SML,2023-06-28,KA01AH3353,270,87.07,Diesel,23508.9
66,SML,2023-06-28,KA01AH0744,300,87.07,Diesel,26121
67,SML,2023-06-29,KA01AG2219,260,87.07,Diesel,22638.2
68,SML,2023-06-30,KA01AH0745,380,87.07,Diesel,33086.6
69,SML,2023-06-30,KA01AE4419,240,87.07,Diesel,20896.8
70,SML,2023-06-30,TN28BB4539,150,87.07,Diesel,13060.5
71,PAVITRA,2023-06-01,KA01AE8655,240,87.07,Diesel,20896.8
72,PAVITRA,2023-06-02,NL01Q5265,160,87.07,Diesel,13931.2
73,PAVITRA,2023-06-03,MH43BG7160,250,87.07,Diesel,21767.5
74,PAVITRA,2023-06-04,KA01AG2055,250,87.07,Diesel,21767.5
75,PAVITRA,2023-06-05,KA01AE8655,260,87.07,Diesel,22638.2
76,PAVITRA,2023-06-05,KA21A3448,250,87.07,Diesel,21767.5
77,PAVITRA,2023-06-05,KA01AE4516,260,87.07,Diesel,22638.2
78,PAVITRA,2023-06-05,TN88J1811,235,87.07,Diesel,20461.45
79,PAVITRA,2023-06-09,KA01AE8655,240,87.07,Diesel,20896.8
80,PAVITRA,2023-06-09,KA01AG6055,260,87.07,Diesel,22638.2
81,PAVITRA,2023-06-09,KA01AG2055,250,87.07,Diesel,21767.5
82,PAVITRA,2023-06-09,MH43BG7160,250,87.07,Diesel,21767.5
83,PAVITRA,2023-06-09,KA21A3448,250,87.07,Diesel,21767.5
84,PAVITRA,2023-06-12,NL01Q5265,240,87.07,Diesel,20896.8
85,PAVITRA,2023-06-13,KA01AE4516,260,87.07,Diesel,22638.2
86,PAVITRA,2023-06-14,KA01AG6055,260,87.07,Diesel,22638.2
87,PAVITRA,2023-06-14,KA21A3448,270,87.07,Diesel,23508.9
88,PAVITRA,2023-06-15,MH43BG7160,250,87.07,Diesel,21767.5
89,PAVITRA,2023-06-15,KA01AG2055,250,87.07,Diesel,21767.5
90,PAVITRA,2023-06-17,KA02AE4519,240,87.07,Diesel,20896.8
91,PAVITRA,2023-06-17,NL01Q5265,260,87.07,Diesel,22638.2
92,PAVITRA,2023-06-19,KA01AE8655,260,87.07,Diesel,22638.2
93,PAVITRA,2023-06-20,TN28BJ3957,311,87.07,Diesel,27078.77
94,PAVITRA,2023-06-20,KA01AE4516,260,87.07,Diesel,22638.2
95,PAVITRA,2023-06-20,KA01AG6055,260,87.07,Diesel,22638.2
96,PAVITRA,2023-06-21,KA21A3448,250,87.07,Diesel,21767.5
97,PAVITRA,2023-06-21,KA01AG2055,250,87.07,Diesel,21767.5
98,PAVITRA,2023-06-24,KA01AE4519,260,87.07,Diesel,22638.2
99,PAVITRA,2023-06-25,NL01Q5265,260,87.07,Diesel,22638.2
100,PAVITRA,2023-06-26,KA01AE4516,260,87.07,Diesel,22638.2
101,PAVITRA,2023-06-26,KA01AE8655,240,87.07,Diesel,20896.8
102,PAVITRA,2023-06-26,MH43BG7160,250,87.07,Diesel,21767.5
103,PAVITRA,2023-06-26,KA01AE6055,260,87.07,Diesel,22638.2
104,PAVITRA,2023-06-27,KA01AG2055,250,87.07,Diesel,21767.5
105,PAVITRA,2023-06-27,KA21A3448,250,87.07,Diesel,21767.5
106,PAVITRA,2023-06-30,MH43BG7160,250,87.07,Diesel,21767.5
107,PAVITRA,2023-06-30,KA01AE4519,240,87.07,Diesel,20896.8
108,PAVITRA,2023-06-30,KA01AE8655,240,87.07,Diesel,20896.8
109,PAVITRA,2023-06-30,KA01AE4516,260,87.07,Diesel,22638.2
110,PAVITRA,2023-06-30,NL01Q5265,260,87.07,Diesel,22638.2
111,BAWA,2023-06-05,KA19AB4314,180,87.07,Diesel,15672.6
112,BAWA,2023-06-15,KA19AC1973,180,87.07,Diesel,15672.6
113,BAWA,2023-06-15,KA19AC1973,70,87.07,Diesel,6094.9
114,BAWA,2023-06-28,KA19AC1693,180,87.07,Diesel,15672.6
115,BAWA,2023-07-04,KA199043,50,87.07,Diesel,4353.5
116,GCC,2023-07-07,,9.37,101.06,Petrol,946.93
117,GCC,2023-07-09,,19.79,101.06,Petrol,1999.98
118,GCC,2023-07-10,,8.31,101.06,Petrol,839.81
119,GCC,2023-07-18,,800,87.07,Diesel,69656
120,GCC,2023-07-20,,5.93,101.06,Petrol,599.29
121,GCC,2023-07-23,,7.42,101.06,Petrol,749.87
122,GCC,2023-07-24,,600,87.07,Diesel,52242
123,PAVITRA,2023-05-30,OpenBal,2508.825,87.07,Diesel,218443.39
124,PAVITRA,2023-07-03,KA01AG6055,260,87.07,Diesel,22638.2
125,PAVITRA,2023-07-06,KA01AG2055,250,87.07,Diesel,21767.5
126,PAVITRA,2023-07-06,KA21A3448,270,87.07,Diesel,23508.9
127,PAVITRA,2023-07-07,NL01Q5265,260,87.07,Diesel,22638.2
128,PAVITRA,2023-07-07,KA01AG6055,260,87.07,Diesel,22638.2
129,PAVITRA,2023-07-07,MH43BG7160,250,87.07,Diesel,21767.5
130,PAVITRA,2023-07-09,KA01AE4516,260,87.07,Diesel,22638.2
131,PAVITRA,2023-07-11,KA01AG2055,250,87.07,Diesel,21767.5
132,PAVITRA,2023-07-12,KA01AE4519,260,87.07,Diesel,22638.2
133,PAVITRA,2023-07-12,TN28BJ3957,349,87.07,Diesel,30387.43
