party,date,volume,rate,product
GCC,03/05/2023,400,87.07,Diesel
GCC,05/05/2023,36.01,101.06,Petrol
GCC,07/05/2023,40,87.07,Diesel
GCC,08/05/2023,40,87.07,Diesel
GCC,08/05/2023,400,87.07,Diesel
GCC,09/05/2023,20,87.07,Diesel
GCC,15/05/2023,2.97,101.06,Petrol
GCC,17/05/2023,500,	87.07,Diesel
GCC,17/05/2023,4.59,87.07,Diesel
GCC,17/05/2023,3.36,101.06,Petrol
GCC,19/05/2023,4.95,101.06,Petrol
GCC,20/05/2023,6.93,101.06,Petrol
GCC,23/05/2023,1.97,101.06,Petrol
GCC,23/05/2023,1.97,101.06,Petrol
GCC,24/05/2023,8.61,101.06,Petrol
GCC,25/05/2023,500,	87.07,Diesel
GCC,25/05/2023,4.59,87.07,Diesel
GCC,26/05/2023,50,87.07,Diesel
GCC,30/05/2023,800,87.07,Diesel
GCC,31/05/2023,8.92,101.06,Petrol
GCC,08/06/2023,7.14,101.06,Petrol
GCC,08/06/2023,800,87.07,Diesel
GCC,13/06/2023,700,87.07,Diesel
GCC,16/06/2023,8.91,101.06,Petrol
GCC,17/06/2023,800,87.07,Diesel
GCC,17/06/2023,4.59,87.07,Diesel
GCC,21/06/2023,4.94,101.06,Petrol
GCC,21/06/2023,7.53,101.06,Petrol
GCC,21/06/2023,800,87.07,Diesel
GCC,27/06/2023,8.51,101.06,Petrol
GCC,27/06/2023,600,87.07,Diesel
GCC,29/06/2023,4.95,101.06,Petrol
GCC,02/07/2023,800,87.07,Diesel
